user_session_id,event_name,event_time,landing_page_location
82023966.6010891291-1090192382,session_start,2020-11-01 00:00:04.579566 UTC,
7754124.2052719725-3291659989,session_start,2020-11-01 00:00:06.427147 UTC,Google+Redesign/Lifestyle/Bags
50214262.5614106866-9011333152,session_start,2020-11-01 00:00:27.483279 UTC,Google Redesign/Lifestyle/Drinkware
7659668.5428867508-9613106892,session_start,2020-11-01 00:00:54.567876 UTC,Google+Redesign/Apparel/Mens/Mens+T+Shirts
29567946.8663048399-9050632539,session_start,2020-11-01 00:01:22.314163 UTC,
78526598.2564598228-6390890680,session_start,2020-11-01 00:01:48.665634 UTC,Google+Redesign/Shop+by+Brand/YouTube
6809118.4045828637-9626129200,session_start,2020-11-01 00:01:54.978809 UTC,store.html
3651965.0007308360-8611863587,session_start,2020-11-01 00:02:32.447440 UTC,Google Redesign/Lifestyle/Drinkware
46173767.7418972312-5207106256,session_start,2020-11-01 00:02:53.538653 UTC,
36571037.3962063186-2516603404,session_start,2020-11-01 00:03:31.736531 UTC,Google+Redesign/Lifestyle/Drinkware
76920896.4940665118-4765351857,session_start,2020-11-01 00:03:44.834245 UTC,Google+Redesign/Lifestyle/Bags
45057246.0697871079-2638608033,session_start,2020-11-01 00:05:04.161951 UTC,Google Redesign/Lifestyle/Drinkware
6557616.5056356625-170052745,session_start,2020-11-01 00:05:09.949531 UTC,Google+Redesign/Lifestyle/Drinkware
4411750.8677732892-2528412146,session_start,2020-11-01 00:05:29.549689 UTC,
3380520.8884755581-6568989672,session_start,2020-11-01 00:06:30.236938 UTC,Google+Redesign/Apparel/Mens/Mens+T+Shirts
4460214.6495180540-6436134567,session_start,2020-11-01 00:06:53.815158 UTC,Google+Redesign/Lifestyle/Drinkware
3380520.8884755581-6568989672,view_item,2020-11-01 00:07:50.895046 UTC,Google+Redesign/Apparel/Mens/Mens+T+Shirts
79171158.9201927926-7577091915,session_start,2020-11-01 00:08:08.290941 UTC,Google Redesign/Lifestyle/Drinkware
54188095.4206265127-3889958296,session_start,2020-11-01 00:08:28.597181 UTC,Google Redesign/Lifestyle/Drinkware
8637505.6837967183-5428051367,session_start,2020-11-01 00:08:33.365049 UTC,store.html
5118235.2926114054-1112469019,session_start,2020-11-01 00:09:17.126348 UTC,Google Redesign/Lifestyle/Drinkware
36638696.4029295753-6944996097,session_start,2020-11-01 00:09:55.117321 UTC,Google+Redesign/Apparel/Mens
36884280.6831843035-3292351283,session_start,2020-11-01 00:09:57.389125 UTC,Google+Redesign/Shop+by+Brand/YouTube
8780231.4045697484-6735763256,session_start,2020-11-01 00:10:33.492467 UTC,
36638696.4029295753-6944996097,view_item,2020-11-01 00:10:35.593253 UTC,Google+Redesign/Apparel/Kids
67919834.9243962713-6281798374,session_start,2020-11-01 00:11:05.587949 UTC,Google Redesign/Lifestyle/Drinkware
36638696.4029295753-6944996097,view_item,2020-11-01 00:11:22.102261 UTC,Google+Redesign/Apparel/Google+Youth+FC+Zip+Hoodie
36638696.4029295753-6944996097,view_item,2020-11-01 00:11:36.608967 UTC,Google+Redesign/Apparel/Kids
7230348.5888529928-7199461734,session_start,2020-11-01 00:11:40.972911 UTC,Google+Redesign/Lifestyle/Bags
36638696.4029295753-6944996097,view_item,2020-11-01 00:11:52.869505 UTC,store.html
36638696.4029295753-6944996097,view_item,2020-11-01 00:12:04.578389 UTC,Google+Redesign/Apparel/Google+Infant+Charcoal+Onesie
36638696.4029295753-6944996097,view_item,2020-11-01 00:12:09.753014 UTC,store.html
36638696.4029295753-6944996097,view_item,2020-11-01 00:12:43.785295 UTC,Google+Redesign/Lifestyle/Bags
67219936.9464368713-1405070392,session_start,2020-11-01 00:12:49.756878 UTC,Google Redesign/Lifestyle/Drinkware
36638696.4029295753-6944996097,view_item,2020-11-01 00:12:51.452948 UTC,Google+Redesign/Lifestyle/Bags
55447092.7105607244-8536420893,session_start,2020-11-01 00:12:54.106081 UTC,
10331259.4577170297-8966694200,session_start,2020-11-01 00:13:03.747237 UTC,Google+Redesign/Accessories
85161224.4348819952-4649793736,session_start,2020-11-01 00:13:23.499075 UTC,
35118927.0975497421-4350716225,session_start,2020-11-01 00:13:25.892920 UTC,Google+Redesign/Apparel/Mens
3728223.2727234326-282462558,session_start,2020-11-01 00:14:46.553114 UTC,Google+Redesign/Lifestyle/Drinkware
36638696.4029295753-6944996097,view_item,2020-11-01 00:14:50.790147 UTC,store.html
5872538.9347636315-1376314844,session_start,2020-11-01 00:15:01.506977 UTC,Google Redesign/Lifestyle/Bags
36638696.4029295753-6944996097,begin_checkout,2020-11-01 00:15:06.901475 UTC,yourinfo.html
36638696.4029295753-6944996097,add_shipping_info,2020-11-01 00:15:11.903480 UTC,yourinfo.html
21881573.2516439024-3906413018,session_start,2020-11-01 00:15:28.573671 UTC,
6668064819.9081381748-7915127761,session_start,2020-11-01 00:16:25.119243 UTC,
36638696.4029295753-6944996097,begin_checkout,2020-11-01 00:16:27.312984 UTC,yourinfo.html
36638696.4029295753-6944996097,add_shipping_info,2020-11-01 00:16:32.319170 UTC,yourinfo.html
36638696.4029295753-6944996097,begin_checkout,2020-11-01 00:16:35.753822 UTC,yourinfo.html
36638696.4029295753-6944996097,add_shipping_info,2020-11-01 00:16:40.750086 UTC,yourinfo.html
36638696.4029295753-6944996097,add_payment_info,2020-11-01 00:16:57.175955 UTC,payment.html
9110227060.0247065782-5351406952,session_start,2020-11-01 00:17:08.903001 UTC,Google+Redesign/Lifestyle/Drinkware
2286308.1625431757-6627852201,session_start,2020-11-01 00:18:37.079969 UTC,Google+Redesign/Lifestyle/Bags
25784752.1588711871-5760483956,session_start,2020-11-01 00:18:48.263643 UTC,Google Redesign/Lifestyle/Drinkware
7724913.3401707148-5467936568,session_start,2020-11-01 00:19:18.823879 UTC,
41647610.0583114001-4281370290,session_start,2020-11-01 00:19:25.382550 UTC,Google Redesign/Lifestyle/Drinkware
7273654.6955332965-5882943337,session_start,2020-11-01 00:20:26.927466 UTC,Google Redesign/Lifestyle/Drinkware
67456213.0697871079-172470017,session_start,2020-11-01 00:21:03.376966 UTC,
36638696.4029295753-6944996097,begin_checkout,2020-11-01 00:21:16.863535 UTC,yourinfo.html
36638696.4029295753-6944996097,add_shipping_info,2020-11-01 00:21:21.130842 UTC,yourinfo.html
36638696.4029295753-6944996097,add_payment_info,2020-11-01 00:21:26.422878 UTC,payment.html
12429373.2347182271-2175823170,session_start,2020-11-01 00:21:38.282324 UTC,Google Redesign/Lifestyle/Drinkware
3823692.3101651523-4481439592,session_start,2020-11-01 00:22:09.375674 UTC,Google+Redesign/Lifestyle/Drinkware
89493060.8108184408-7052560603,session_start,2020-11-01 00:22:52.234684 UTC,Google+Redesign/Lifestyle/Bags
53665321.2950452775-5609690506,session_start,2020-11-01 00:22:57.556949 UTC,Google+Redesign/Accessories
41880591.6180625492-9163531609,session_start,2020-11-01 00:23:05.022144 UTC,Google+Redesign/Accessories
26190329.2206584650-186675335,session_start,2020-11-01 00:23:23.349185 UTC,Google+Redesign/Apparel/Mens
36813268.7392481233-4171088467,session_start,2020-11-01 00:24:32.432219 UTC,Google Redesign/Lifestyle/Drinkware
45148411.3835163353-2459903405,session_start,2020-11-01 00:24:49.238984 UTC,
36638696.4029295753-6944996097,view_item,2020-11-01 00:25:11.622486 UTC,Google+Redesign/Apparel/Mens
80169338.3006560611-7621612405,session_start,2020-11-01 00:25:24.607286 UTC,Google Redesign/Lifestyle/Drinkware
5551476.3360070688-4338623168,session_start,2020-11-01 00:25:42.379002 UTC,
